MAP_ID,IN_JAN,IN_FEB,IN_MAR,IN_APR,IN_MAY,IN_JUN,IN_JUL,IN_AUG,IN_SEP,IN_OCT,IN_NOV,IN_DEC,DESC_ALERT,DESC_FIRE,DESC_OTHER,DESC_NEW,NB_UNITS,Median_NrIncidentsLastWeekPast,Median_NrIncidentsLastMonthPast,Median_NrCrimesLastWeekPast,Median_NrCrimesLastMonthPast,NB_PROPERTIES,FLOORS,HOUSINGS,YEAR_CONSTRUCTION,LAND_AREA,BUILDING_AREA,USAGE_LOGEMENT,CATEGORY_REGULAR,CATEGORY_CONDOMINIUM
11-64,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,84,1.5,1,1997,242,181,0.988,0.429,0.571
11-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,2,1,2016,232,201,0.978,0.404,0.596
11-66,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,6,3,12,1985,2607,608.5,0.667,1,0
11-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,2,1,1968,576,173,0.788,1,0
11-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2,2,1957.5,372,176.5,0.975,0.85,0.15
11-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,2,1,1976,230.5,201,0.573,0.617,0.383
11-70,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,219,2,1,1989,223,208,0.927,0.575,0.425
11-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,2,1,1999,93,223,0.862,0.457,0.543
11-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,2,2,1969,227.5,219,0.892,0.785,0.215
11-73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,196,2,1,1979,243,201,0.949,0.694,0.306
11-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,2,1,1992,137,135,0.942,0.436,0.564
11-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,2,1,1973,203,153.5,0.981,0.72,0.28
11-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,2,2,1946,251,190,0.947,0.918,0.082
11-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,2,1,1953,174,201,0.868,0.6,0.4
11-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,2,2,1948,250,196,0.994,0.938,0.062
12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1984,571,91,1,1,0
12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,2,1,1993,577,158,1,1,0
12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,2,1,1993.5,607.5,177.5,0.923,1,0
12-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2008,18517,201,0,1,0
12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1989,620,218,1,1,0
12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,2,1,1992,853,299.5,0.965,1,0
12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,2,1,1972,755,253,1,1,0
12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,2,1,1967.5,732,227.5,1,1,0
12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,2,1,1952,420,181,0.989,0.947,0.053
12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,2,1,1967,802,222,0.989,1,0
12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1,1,1961,785,122,0.979,1,0
12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,1,1955,836,105,0.941,1,0
12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,2,1,1984,127,201,0.78,0.447,0.553
12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2,1,1998,195,260,0.592,0.255,0.745
12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2,1,1972,836,187.5,0.984,0.629,0.371
12-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2,1,1952,761,144.5,1,1,0
12-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,2,1,2007,137,201,0.575,0.353,0.647
12-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,2,1,1959,566.5,135.5,0.992,1,0
12-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2,1,1946,1073,168,0.922,1,0
12-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,2,1,1960,715,164,1,1,0
12-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,2,1,1963,932,268,0.966,1,0
12-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1991,1466,364,1,1,0
12-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,1,1951,492,146,0.971,1,0
12-56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,72,2,1,1999,101,313,0.792,0.389,0.611
12-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,2,1,1948,590,201,0.857,0.952,0.048
12-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,2,1,1942.5,307,196,0.896,0.63,0.37
12-59,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0.5,0,2.5,0,1,0,0,195,2,1,1993,135,201,0.949,0.497,0.503
12-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,1976,8854,463,0.909,1,0
12-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,2,1,2009,75,201,0.696,0.236,0.764
12-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,2,1,1989,221,201,0.872,0.5,0.5
12-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,2,2,1930,281,299,0.908,0.77,0.23
12-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2,1,1948,240,201,0.683,0.571,0.429
12-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,2,1,1984,133.5,201,0.882,0.363,0.637
12-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1957,14653,9109,0,1,0
12-66,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,59,2,1,1988,716,201,0,0.034,0.966
12-67,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0.5,0,2,0,1,0,0,14,2,1.5,1956,418.5,201,0.5,1,0
