MAP_ID,IN_JAN,IN_FEB,IN_MAR,IN_APR,IN_MAY,IN_JUN,IN_JUL,IN_AUG,IN_SEP,IN_OCT,IN_NOV,IN_DEC,DESC_ALERT,DESC_FIRE,DESC_OTHER,DESC_NEW,NB_UNITS,Median_NrIncidentsLastWeek,Median_NrIncidentsLastMonth,Median_NrCrimesLastWeek,Median_NrCrimesLastMonth,Median_NrIncidentsLastWeekPast,Median_NrIncidentsLastMonthPast,Median_NrCrimesLastWeekPast,Median_NrCrimesLastMonthPast,NB_PROPERTIES,FLOORS,HOUSINGS,YEAR_CONSTRUCTION,LAND_AREA,BUILDING_AREA,USAGE_LOGEMENT,CATEGORY_REGULAR,CATEGORY_CONDOMINIUM,NB_INCIDENTS
21-79,0.302,0.07,0.07,0.047,0,0.116,0.047,0.023,0.07,0.07,0.07,0.116,0.674,0.093,0.233,0,4,0,1,0,1,0,1,0,1,261,2,1,1960,222,201,0.724,0.648,0.352,43
21-80,0.045,0.045,0.091,0.091,0,0.227,0.091,0.091,0.182,0.045,0.045,0.045,0.318,0.182,0.5,0,3,0,0,0,0,0,0,0,0,264,2,1,1972,183.5,201,0.765,0.542,0.458,22
21-81,0.047,0.056,0.084,0.065,0.084,0.056,0.121,0.131,0.14,0.075,0.019,0.121,0.682,0.14,0.178,0,3,0,2,0,2,0,1,0,2,562,2,1,1960,101.5,201,0.963,0.441,0.559,107
21-82,0.12,0.072,0.084,0.084,0.036,0.072,0.108,0.096,0.06,0.072,0.108,0.084,0.578,0.145,0.277,0,3,0,1,0,2,0,1,0,2,298,2,2,1924,261,216.5,0.879,0.745,0.255,83
21-83,0.05,0.083,0.117,0.167,0.15,0.083,0.05,0.1,0.017,0.05,0.05,0.083,0.6,0.083,0.317,0,3,0,1,0,1,0,1,0,1,83,2,2,1924,258,250,0.855,0.904,0.096,60
21-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,2,1,1989,64,256,0.958,0,1,0
21-85,0.192,0.038,0,0.038,0.077,0.077,0.115,0.038,0.154,0.077,0.115,0.077,0.731,0.115,0.154,0,4,0,0,0,1,0,0,0,1,499,2,1,1988,117,201,0.9,0.214,0.786,26
21-86,0.059,0.206,0.059,0.088,0.118,0,0.176,0.088,0.029,0.029,0.088,0.059,0.824,0.059,0.118,0,3,0,0,0,0,0,0,0,0,510,2,1,1994,62.5,201,0.988,0.214,0.786,34
21-87,0.022,0.09,0.011,0.067,0.101,0.135,0.101,0.112,0.09,0.09,0.09,0.09,0.91,0.045,0.045,0,3,0,1,0,0,0,1,0,0,908,2,1,1989,79,201,0.837,0.065,0.935,89
22-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1816,12651,327,1,1,0,0
22-20,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,2,0,0,0,0,0,0,0,0,24,2,1,1972.5,614.5,187.5,0.708,1,0,2
22-21,0.25,0.25,0,0,0,0.25,0,0.25,0,0,0,0,0.75,0,0.25,0,1.5,0,0,0,0,0,0,0,0,73,2,1,1980,681,165,0.932,1,0,4
22-22,0.154,0.077,0.077,0.154,0.077,0.154,0.077,0.077,0.154,0,0,0,0.769,0.154,0.077,0,3,0,0,0,0,0,0,0,0,201,2,1,1988,552,146,0.985,1,0,13
22-23,0.111,0.111,0.074,0.111,0.037,0.037,0.222,0.074,0.074,0.037,0.037,0.074,0.852,0.037,0.111,0,3,0,0,0,0,0,0,0,0,170,2,1,1988,496.5,127.5,0.982,1,0,27
22-24,0.089,0.018,0.143,0.125,0.125,0.089,0.107,0.071,0.036,0.089,0.018,0.089,0.893,0.018,0.089,0,3,0,1,0,0.5,0,1,0,0,158,2,1,1972,425,132,0.778,1,0,56
22-25,0.286,0.143,0,0,0,0,0,0.143,0.143,0.143,0.143,0,0.714,0.286,0,0,3,0,0,0,0,0,0,0,0,93,1,1,1968,586,106,0.989,1,0,7
