ID,LAT_MIN,LNG_MIN,LAT_MAX,LNG_MAX,LAT_ID,LNG_ID
96-2,45.6945,-73.9947,45.6976,-73.9894,96,2
97-2,45.6976,-73.9947,45.7007,-73.9894,97,2
98-2,45.7007,-73.9947,45.7038,-73.9894,98,2
99-2,45.7038,-73.9947,45.7069,-73.9894,99,2
100-2,45.7069,-73.9947,45.71,-73.9894,100,2
1-3,45.4,-73.9894,45.4031,-73.9841,1,3
2-3,45.4031,-73.9894,45.4062,-73.9841,2,3
3-3,45.4062,-73.9894,45.4093,-73.9841,3,3
4-3,45.4093,-73.9894,45.4124,-73.9841,4,3
5-3,45.4124,-73.9894,45.4155,-73.9841,5,3
6-3,45.4155,-73.9894,45.4186,-73.9841,6,3
7-3,45.4186,-73.9894,45.4217,-73.9841,7,3
8-3,45.4217,-73.9894,45.4248,-73.9841,8,3
9-3,45.4248,-73.9894,45.4279,-73.9841,9,3
10-3,45.4279,-73.9894,45.431,-73.9841,10,3
11-3,45.431,-73.9894,45.4341,-73.9841,11,3
12-3,45.4341,-73.9894,45.4372,-73.9841,12,3
13-3,45.4372,-73.9894,45.4403,-73.9841,13,3
14-3,45.4403,-73.9894,45.4434,-73.9841,14,3
15-3,45.4434,-73.9894,45.4465,-73.9841,15,3
16-3,45.4465,-73.9894,45.4496,-73.9841,16,3
17-3,45.4496,-73.9894,45.4527,-73.9841,17,3
18-3,45.4527,-73.9894,45.455799999999996,-73.9841,18,3
19-3,45.455799999999996,-73.9894,45.4589,-73.9841,19,3
20-3,45.4589,-73.9894,45.461999999999996,-73.9841,20,3
21-3,45.461999999999996,-73.9894,45.4651,-73.9841,21,3
22-3,45.4651,-73.9894,45.468199999999996,-73.9841,22,3
23-3,45.468199999999996,-73.9894,45.4713,-73.9841,23,3
24-3,45.4713,-73.9894,45.474399999999996,-73.9841,24,3
25-3,45.474399999999996,-73.9894,45.4775,-73.9841,25,3
26-3,45.4775,-73.9894,45.4806,-73.9841,26,3
27-3,45.4806,-73.9894,45.4837,-73.9841,27,3
28-3,45.4837,-73.9894,45.4868,-73.9841,28,3
29-3,45.4868,-73.9894,45.4899,-73.9841,29,3
30-3,45.4899,-73.9894,45.493,-73.9841,30,3
31-3,45.493,-73.9894,45.4961,-73.9841,31,3
32-3,45.4961,-73.9894,45.4992,-73.9841,32,3
33-3,45.4992,-73.9894,45.5023,-73.9841,33,3
34-3,45.5023,-73.9894,45.5054,-73.9841,34,3
35-3,45.5054,-73.9894,45.5085,-73.9841,35,3
36-3,45.5085,-73.9894,45.5116,-73.9841,36,3
37-3,45.5116,-73.9894,45.5147,-73.9841,37,3
38-3,45.5147,-73.9894,45.5178,-73.9841,38,3
39-3,45.5178,-73.9894,45.5209,-73.9841,39,3
40-3,45.5209,-73.9894,45.524,-73.9841,40,3
41-3,45.524,-73.9894,45.5271,-73.9841,41,3
42-3,45.5271,-73.9894,45.5302,-73.9841,42,3
43-3,45.5302,-73.9894,45.5333,-73.9841,43,3
44-3,45.5333,-73.9894,45.5364,-73.9841,44,3
45-3,45.5364,-73.9894,45.5395,-73.9841,45,3
46-3,45.5395,-73.9894,45.5426,-73.9841,46,3
47-3,45.5426,-73.9894,45.5457,-73.9841,47,3
48-3,45.5457,-73.9894,45.5488,-73.9841,48,3
49-3,45.5488,-73.9894,45.551899999999996,-73.9841,49,3
50-3,45.551899999999996,-73.9894,45.555,-73.9841,50,3
51-3,45.555,-73.9894,45.5581,-73.9841,51,3
52-3,45.5581,-73.9894,45.5612,-73.9841,52,3
53-3,45.5612,-73.9894,45.5643,-73.9841,53,3
54-3,45.5643,-73.9894,45.5674,-73.9841,54,3
55-3,45.5674,-73.9894,45.5705,-73.9841,55,3
56-3,45.5705,-73.9894,45.5736,-73.9841,56,3
57-3,45.5736,-73.9894,45.5767,-73.9841,57,3
